system,phase,embedding_model,embedding_dim,top_k,selection,prompt_style,n,hf_em,hf_f1
naive,phase4,all-MiniLM-L6-v2,384,10,concat,instruction,918,32.570806100217865,42.6353406931994
naive,phase4,multi-qa-MiniLM-L6-cos-v1,384,10,concat,instruction,918,32.13507625272331,42.32506520119277
naive,phase4,all-MiniLM-L6-v2,384,5,concat,instruction,918,30.93681917211329,40.62624594980791
naive,phase4,paraphrase-MiniLM-L3-v2,384,10,concat,instruction,918,30.392156862745097,40.14908363472905
naive,phase4,multi-qa-MiniLM-L6-cos-v1,384,3,concat,instruction,918,30.392156862745097,39.994162468376345
naive,phase4,multi-qa-MiniLM-L6-cos-v1,384,5,concat,instruction,918,30.28322440087146,39.82062491618242
naive,phase4,all-MiniLM-L6-v2,384,3,first,instruction,918,31.808278867102395,39.303823790281974
naive,phase4,all-MiniLM-L6-v2,384,5,first,instruction,918,31.808278867102395,39.303823790281974
naive,phase4,all-MiniLM-L6-v2,384,10,first,instruction,918,31.808278867102395,39.303823790281974
naive,phase4,all-MiniLM-L6-v2,384,3,concat,instruction,918,29.084967320261438,38.982165948155235
naive,phase4,multi-qa-MiniLM-L6-cos-v1,384,3,first,instruction,918,29.847494553376908,37.86120118286372
naive,phase4,multi-qa-MiniLM-L6-cos-v1,384,5,first,instruction,918,29.847494553376908,37.86120118286372
naive,phase4,multi-qa-MiniLM-L6-cos-v1,384,10,first,instruction,918,29.847494553376908,37.86120118286372
naive,phase4,paraphrase-MiniLM-L3-v2,384,5,concat,instruction,918,28.21350762527233,37.81082853197389
naive,phase4,paraphrase-MiniLM-L3-v2,384,3,first,instruction,918,29.084967320261438,36.45227954758847
naive,phase4,paraphrase-MiniLM-L3-v2,384,5,first,instruction,918,29.084967320261438,36.45227954758847
naive,phase4,paraphrase-MiniLM-L3-v2,384,10,first,instruction,918,29.084967320261438,36.45227954758847
naive,phase4,paraphrase-MiniLM-L3-v2,384,3,concat,instruction,918,26.688453159041394,35.661057114004734
naive,phase4,multi-qa-MiniLM-L6-cos-v1,384,3,best_by_len,instruction,918,18.845315904139433,22.82990887368353
naive,phase4,paraphrase-MiniLM-L3-v2,384,3,best_by_len,instruction,918,18.51851851851852,22.792743653777222
naive,phase4,all-MiniLM-L6-v2,384,5,best_by_len,instruction,918,19.934640522875817,22.56637797497931
naive,phase4,all-MiniLM-L6-v2,384,3,best_by_len,instruction,918,19.06318082788671,22.487354094631357
naive,phase4,all-MiniLM-L6-v2,384,10,best_by_len,instruction,918,19.934640522875817,22.457178029148274
naive,phase4,paraphrase-MiniLM-L3-v2,384,5,best_by_len,instruction,918,19.17211328976035,22.236072930109653
naive,phase4,multi-qa-MiniLM-L6-cos-v1,384,5,best_by_len,instruction,918,18.845315904139433,21.823778164470717
naive,phase4,multi-qa-MiniLM-L6-cos-v1,384,10,best_by_len,instruction,918,19.06318082788671,21.659444624831938
naive,phase4,paraphrase-MiniLM-L3-v2,384,10,best_by_len,instruction,918,18.40958605664488,21.167533522837854
